Log,Score
"www.sitgesanytime.com 176.9.10.174 - - [22/Jan/2024:14:58:48 +0100] ""GET /nl/pl415/blog/lijst-met-blogs/id63/een-route-met-smaak-en-een-paspoort.htm?cat_415=440 HTTP/1.1"" 200 17972 ""-"" ""Mozilla/5.0 (compatible; AwarioBot/1.0; +https://awario.com/bots.html)"",0.0019961127545684576"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:14:59:45 +0100] ""HEAD /es/pl409/blog.htm?cat_409=450&pg=2 HTTP/1.1"" 301 4817 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.2266.166 Safari/537.36"",0.0019691770430654287"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:00:38:38 +0100] ""HEAD /ca/pl409/blog/id37/els-museus-de-sitges-esperen.htm HTTP/1.1"" 301 4834 ""-"" ""Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3423.68 Safari/537.36"",0.001954620471224189"
"www.sitgesanytime.com 17.22.253.15 - - [22/Jan/2024:00:32:37 +0100] ""GET /de/obteVideo?vid=3 HTTP/1.1"" 200 676 ""https://www.sitgesanytime.com/de/erleben/aktivtourismus.htm"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)"",0.0018743660766631365"
"www.sitgesanytime.com 50.37.219.130 - - [22/Jan/2024:00:08:46 +0100] ""GET /plantilles/turisme/img/ico-arrow-up.gif HTTP/2.0"" 200 1409 ""https://www.sitgesanytime.com/plantilles/turisme/css/estils-base.css?v=23"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"",0.0018346152501180768"
"www.sitgesanytime.com 77.103.96.219 - - [22/Jan/2024:15:00:32 +0100] ""GET /plantilles/turisme/eltemps/wstemps.php?site=1&lang=en HTTP/2.0"" 200 454 ""https://www.sitgesanytime.com/en/pl355/explore/festivals-of-interest/id3/sitges-carnival.htm"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15"",0.0017904990818351507"
"www.sitgesanytime.com 77.103.96.219 - - [22/Jan/2024:15:00:31 +0100] ""GET /plantilles/turisme/css/estils-print.css?v=3 HTTP/2.0"" 200 655 ""https://www.sitgesanytime.com/en/pl355/explore/festivals-of-interest/id3/sitges-carnival.htm"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15"",0.0017780542839318514"
"www.sitgesanytime.com 168.119.65.53 - - [22/Jan/2024:15:00:13 +0100] ""GET /plantilles/turisme/css/font/Brushways.woff HTTP/2.0"" 200 160009 ""https://www.sitgesanytime.com/ca/pl383/explora/testimonis-i-amfitrions/persones/id32/judith-marti.htm"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"",0.001777970464900136"
"www.sitgesanytime.com 195.154.123.60 - - [22/Jan/2024:15:00:42 +0100] ""GET /plantilles/turisme/css/estils-mw900.css?v=8 HTTP/2.0"" 200 2344 ""https://www.sitgesanytime.com/fr/pl50/planifiez-votre-voyage/ou-dormir/id95/sitges-royal-rooms.htm"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"",0.0017407943960279226"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:53 +0100] ""GET /ca/pl30/planifica-el-teu-viatge/mapa-de-serveis/id110/buti.htm HTTP/1.1"" 301 671 ""-"" ""Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.2734.103 Safari/537.36"",0.001727789407595992"
